transect_id,x1,y1,x2,y2
261,16162109.9999997,-4591896.486486486,16160910.0000003,-4591896.486486486
262,16161496.396396397,-4591260.0000003,16161496.396396397,-4592459.9999997
263,16160850.0000003,-4591863.693693694,16162049.9999997,-4591863.693693694
264,16160850.0000003,-4591913.783783784,16162049.9999997,-4591913.783783784
265,16161406.126126125,-4591320.0000003,16161406.126126125,-4592519.9999997
266,16161356.036036037,-4591320.0000003,16161356.036036037,-4592519.9999997
267,16161929.9999997,-4591895.945945946,16160730.0000003,-4591895.945945946
268,16161929.9999997,-4591845.855855856,16160730.0000003,-4591845.855855856
269,16161364.234234234,-4592429.9999997,16161364.234234234,-4591230.0000003
270,16161989.9999997,-4591805.675675675,16160790.0000003,-4591805.675675675
271,16161434.414414415,-4592399.9999997,16161434.414414415,-4591200.0000003
272,16162049.9999997,-4591765.495495495,16160850.0000003,-4591765.495495495
273,16161474.594594594,-4592339.9999997,16161474.594594594,-4591140.0000003
274,16162079.9999997,-4591695.3153153155,16160880.0000003,-4591695.3153153155
275,16162049.9999997,-4591675.225225225,16160850.0000003,-4591675.225225225
276,16161425.135135135,-4591050.0000003,16161425.135135135,-4592249.9999997
277,16162019.9999997,-4591605.045045045,16160820.0000003,-4591605.045045045
278,16162019.9999997,-4591554.954954955,16160820.0000003,-4591554.954954955
279,16161445.135135135,-4592129.9999997,16161445.135135135,-4590930.0000003
280,16161495.225225225,-4592129.9999997,16161495.225225225,-4590930.0000003
281,16161545.315315315,-4592129.9999997,16161545.315315315,-4590930.0000003
282,16162169.9999997,-4591504.594594595,16160970.0000003,-4591504.594594595
283,16161615.495495496,-4592099.9999997,16161615.495495496,-4590900.0000003
284,16162229.9999997,-4591464.414414414,16161030.0000003,-4591464.414414414
285,16161655.675675675,-4592039.9999997,16161655.675675675,-4590840.0000003
286,16161090.0000003,-4591455.765765766,16162289.9999997,-4591455.765765766
287,16161695.855855856,-4592099.9999997,16161695.855855856,-4590900.0000003
288,16161120.0000003,-4591525.945945946,16162319.9999997,-4591525.945945946
289,16162349.9999997,-4591513.963963964,16161150.0000003,-4591513.963963964
